Entity,Code,Day,Training computation (petaFLOP),Domain,time
Adaptive Input Transformer + RD,,2021-06-28,85800.01,Language,2021-06-28
AlexNet,,2012-09-30,470,Vision,2012-09-30
AlexaTM 20B,,2022-08-02,204374020,Language,2022-08-02
AlphaCode,,2022-02-02,238010000,Language,2022-02-02
AlphaFold,,2020-01-15,100000,Biology,2020-01-15
AlphaFold 2,,2020-11-30,2990000,Biology,2020-11-30
AlphaFold 3,,2024-05-08,41405644,Biology,2024-05-08
AlphaFold-Multimer,,2021-10-04,4350000,Biology,2021-10-04
AlphaGo Fan,,2015-10-01,380000.03,Games,2015-10-01
AlphaGo Lee,,2016-01-27,1900000,Games,2016-01-27
AlphaGo Master,,2017-10-19,341000,Games,2017-10-19
AlphaGo Zero,,2017-10-18,649439.9,Games,2017-10-18
AlphaStar,,2019-10-30,107734000,Games,2019-10-30
AlphaTensor,,2022-10-05,714147.8,Multiple domains,2022-10-05
AlphaX-1,,2019-10-02,889.344,Vision,2019-10-02
AlphaZero,,2017-12-05,106000,Games,2017-12-05
Amazon Nova Pro,,2024-12-03,6000009700,Multiple domains,2024-12-03
Amazon Titan,,2023-09-28,4800000000,Multiple domains,2023-09-28
Ankh_large,,2023-01-16,6500000,Biology,2023-01-16
Aramco Metabrain AI,,2024-03-04,10500000000,Language,2024-03-04
AudioGen,,2023-03-05,9500000,Other,2023-03-05
AudioLM,,2023-07-26,3900,Other,2023-07-26
BASIC-L,,2021-11-19,41200000,Vision,2021-11-19
BEIT-3,,2022-08-22,70000,Multiple domains,2022-08-22
BERT-Large,,2018-10-11,285000,Language,2018-10-11
BERT-Large-CAS (PTB+WT2+WT103),,2019-04-20,154050,Language,2019-04-20
BERT-RBP,,2022-04-07,140000,Biology,2022-04-07
BIDAF,,2016-11-05,3468.6145,Language,2016-11-05
BLIP-2 (Q-Former),,2023-01-30,1200000,Multiple domains,2023-01-30
BLOOM-176B,,2022-07-11,365664000,Language,2022-07-11
Back-propagation,,1986-10-01,6.7392e-7,Other,1986-10-01
Bankruptcy-NN,,1990-06-17,0.0000030593378,Other,1990-06-17
Base LM + kNN LM + Continuous Cache,,2019-11-01,30529.201,Language,2019-11-01
Big Transformer for Back-Translation,,2018-08-28,478080,Language,2018-08-28
Big-Little Net,,2018-07-10,246.048,Vision,2018-07-10
Big-Little Net (speech),,2018-07-10,429.00482,Speech,2018-07-10
BlenderBot 3,,2022-08-10,430000030,Language,2022-08-10
BloombergGPT,,2023-03-30,236000020,Language,2023-03-30
ByT5-XXL,,2021-05-28,81000000,Language,2021-05-28
CHAI-1,,2024-10-15,7760572.5,Biology,2024-10-15
CLIP (ViT L/14@336px),,2021-01-05,10500000,Multiple domains,2021-01-05
CNN Committee (MNIST),,2011-09-18,52,Vision,2011-09-18
CNN Committee (NIST),,2011-09-18,26,Vision,2011-09-18
CNN committee (traffic sign),,2011-10-03,0.99198145,Vision,2011-10-03
CODEFUSION (Python),,2023-10-26,7920,Language,2023-10-26
CPM-Large,,2020-12-01,260520,Language,2020-12-01
CT-MoS (WT2),,2020-12-25,540,Language,2020-12-25
CaLM,,2022-12-19,29000,Biology,2022-12-19
CamemBERT,,2019-11-10,830000,Language,2019-11-10
Cancer drug mechanism prediction,,1992-10-16,5.346e-8,Other,1992-10-16
Ceramic-MLP,,1994-01-07,0.0000045312,Other,1994-01-07
ChatGLM3-6B,,2023-10-27,50400000,Multiple domains,2023-10-27
Chinchilla,,2022-03-29,576000000,Language,2022-03-29
Claude 2,,2023-07-11,3866000100,Language,2023-07-11
Claude 3 Opus,,2024-03-04,16400010000,Multiple domains,2024-03-04
Claude 3.5 Sonnet,,2024-06-20,26999998000,Multiple domains,2024-06-20
Claude 3.7 Sonnet,,2025-02-24,33500000000,Multiple domains,2025-02-24
CoAtNet,,2021-06-09,42700004,Vision,2021-06-09
CoCa,,2022-06-14,73000000,Vision,2022-06-14
CodeT5-base,,2021-11-01,1560000.1,Language,2021-11-01
CodeT5-large,,2022-07-05,2720000,Language,2022-07-05
Codex,,2021-07-07,73440000,Language,2021-07-07
CogAgent,,2023-12-14,67070004,Multiple domains,2023-12-14
CogVLM-17B,,2023-11-06,63310000,Multiple domains,2023-11-06
CogView,,2021-05-26,26800000,Image generation,2021-05-26
Cognitron,,1975-09-01,5.184e-9,Other,1975-09-01
Conformer + Wav2vec 2.0 + Noisy Student,,2020-10-20,7600000,Speech,2020-10-20
ContextNet + Noisy Student,,2020-01-19,8160000,Speech,2020-01-19
Contriever,,2021-12-16,157000,Language,2021-12-16
ConvS2S (ensemble of 8 models),,2017-07-25,56400,Language,2017-07-25
Cross-lingual alignment,,2019-04-04,2560,Language,2019-04-04
DALL-E,,2021-01-05,47000000,Image generation,2021-01-05
DALL·E 2,,2022-04-06,336957860,Image generation,2022-04-06
DBRX,,2024-03-27,2600000000,Language,2024-03-27
DCNN,,2015-08-07,480.9869,Vision,2015-08-07
DD-PPO,,2019-12-19,780000.06,Robotics,2019-12-19
DDPM-IP (CelebA),,2023-01-27,350000,Image generation,2023-01-27
DETR,,2020-05-26,400000,Vision,2020-05-26
DINOv2,,2023-04-14,7418511,Vision,2023-04-14
DITTO,,2022-06-06,3317.7603,Language,2022-06-06
DLRM-2020,,2019-05-31,4000,Other,2019-05-31
DLWP,,2021-02-09,5684.515,Other,2021-02-09
DNABERT,,2021-08-15,107000.01,Biology,2021-08-15
DNN EM segmentation,,2012-12-03,478,Vision,2012-12-03
DQN,,2013-12-19,2.846884,Games,2013-12-19
DeBERTa,,2021-06-10,25880000,Language,2021-06-10
DeLighT,,2020-08-03,3801.6,Language,2020-08-03
Decision tree (classification),,2001-12-08,0.063,Vision,2001-12-08
Deep Autoencoders,,2011-04-29,36.72864,Vision,2011-04-29
DeepLoc,,2017-07-07,578.1024,Biology,2017-07-07
DeepSeek-Coder-V2 236B,,2024-06-17,1285200000,Language,2024-06-17
DeepSeek-R1,,2025-01-20,4020010000,Language,2025-01-20
DeepSeek-V2.5,,2024-09-06,1789200000,Language,2024-09-06
DeepSeek-V3,,2024-12-24,3407800000,Language,2024-12-24
DeepStack,,2017-01-06,14463.36,Games,2017-01-06
DeiT-B,,2021-01-15,78840,Vision,2021-01-15
Denoising Diffusion Probabilistic Models (LSUN Bedroom),,2021-06-11,78401.25,Vision,2021-06-11
DensePhrases,,2020-12-23,2099.52,Language,2020-12-23
Detic,,2022-01-07,23439.975,Vision,2022-01-07
DiT-XL/2,,2023-03-02,600000,Image generation,2023-03-02
DiffDock,,2022-10-04,72000,Biology,2022-10-04
Discriminator Guidance,,2022-11-28,215700,Image generation,2022-11-28
DistBelief NNLM,,2013-01-16,2612.736,Language,2013-01-16
DistBelief Speech,,2012-12-03,311.40002,Speech,2012-12-03
DistilBERT,,2019-10-02,12441.6,Language,2019-10-02
Distributed representation NN,,1986-08-15,3.888e-7,Other,1986-08-15
Doubao-pro,,2024-10-28,25050001000,Language,2024-10-28
DreamerV3,,2023-01-10,220320,Multiple domains,2023-01-10
Dropout (CIFAR),,2012-06-03,4.2687,Vision,2012-06-03
Dropout (ImageNet),,2012-06-03,273.1968,Vision,2012-06-03
Dropout (MNIST),,2012-06-03,6.039371,Vision,2012-06-03
Dropout-LSTM+Noise(Bernoulli) (WT2),,2018-05-03,127,Language,2018-05-03
